episod,total_reward,z_pos
733,241.98624193491227,37.13872828982898
734,241.65726951777742,37.116855656583574
735,241.1915101710284,36.81862655047517
736,241.55827463467128,36.9037934815127
737,242.11190183820696,37.230610337020536
738,241.52379061900984,37.06224982151307
739,241.01476802892242,36.8478768238842
740,242.0032848516496,36.960791850533866
741,241.96534436156452,37.201763865858176
742,242.30892706769524,37.21618151806508
743,241.48284419149795,36.356147825052425
744,241.76058358505048,37.06901277133218
745,240.71429129042664,36.45906770452344
746,242.01710641443378,37.13372721648216
747,242.14520184489407,37.24328762360971
748,241.89216067939927,37.098083681934774
749,241.75217902971218,36.85202458431999
750,241.52049660680004,37.038043706859746
751,242.37364629534434,37.27021039740903
752,241.67076291856304,37.08578732650268
753,241.24795849282086,36.8763119107272
754,241.7788410138034,37.033686103741765
755,242.06131794214343,36.92823162440261
756,241.46218911741602,36.98954257024207
757,242.08320031484098,37.16728473588117
758,241.5544126237876,36.85907570690739
759,241.49203731550685,37.08686114124977
760,241.75407591813547,37.08811783756915
761,241.48316344404682,36.91105494344561
762,241.68502611535664,36.9791341077615
763,241.74492420160593,37.014421331347464
764,242.06654805985147,37.26751473716896
765,242.40700600448966,37.28426936144425
766,241.56661162807444,36.445456532165046
767,241.37115420563464,36.94954221284312
768,241.75817657238534,36.72686727433931
769,241.45416935072257,36.652437618184976
770,241.9742933002474,36.95602214047788
771,241.2596058437033,36.92014039044637
772,241.65814202917664,36.96889304137365
773,241.80760917517225,37.114014704723736
774,241.39473607912922,36.954768719209916
775,241.61851851164266,37.062851374118274
776,242.13966873363955,37.17245236544668
777,241.61102854658665,37.01226421259992
778,241.57564958414324,37.04753893832614
779,241.21135526984568,34.38020398422191
780,241.08064541997305,36.86377356399858
781,241.48887227557987,37.02993998895146
782,242.23352534215667,37.251701537533386
783,242.198805427806,37.15986076168609
784,241.29898080038774,36.97929181202961
785,241.1241232653302,36.962334649233476
786,241.47029864966368,36.480999673579376
787,242.123168923954,37.25403862994447
788,242.09097703393178,37.01598008228462
789,241.70913176929648,37.12390555825981
790,241.6665059968012,36.740074126105064
791,241.63510491068342,36.92512667753153
792,241.76409385928747,37.137750760075235
793,242.1191188504762,37.25012315955368
794,242.14428254424695,37.22584011895228
795,242.10311255695325,37.22694423906578
796,242.2295985298426,36.71036534702323
797,241.9881663808132,36.582438769621106
798,241.77426815144173,36.944351617946246
799,241.81242441570652,37.08271754555852
800,241.87211819444585,37.158869978642066
801,241.66093575438236,36.6741124310564
802,241.83936636052115,37.147107655315054
803,241.24139668639523,36.340164922142186
804,241.87654915528398,37.0062502912761
805,241.91966960175634,37.07330395972242
806,241.52514129810567,36.78185637365511
807,241.7735742833329,36.77483725046093
808,242.02774786147327,37.148053062062075
809,241.81847353155652,37.15583133034549
810,241.84533244736912,36.90322435685701
811,241.77229706258822,37.08726531017324
812,242.07197011003436,37.187034911218
813,241.05089233198362,36.87331900531749
814,240.84077154272055,36.44683638342713
815,241.5011783890786,37.06600487874721
816,241.61524679368998,37.022736205712704
817,241.9054785915941,37.05876658849879
818,241.81526996566052,37.18578971258584
819,241.86136286600816,37.07777107938622
820,241.8621495897301,37.11600295209621
821,241.4655325535258,37.09986204802299
822,241.61821522676243,36.86837285443952
823,242.90186360966433,37.158559250836696
824,241.32457229127593,36.977436187853094
825,241.69529824246155,36.992605581736136
826,241.89940224683826,37.131581459808984
827,241.54547302554445,36.844729063078816
828,242.11730515194202,37.25643461274182
829,242.20380174069257,37.258716524222564
830,242.12762177089485,37.134054126209456
831,241.7127805055865,36.64809018364735
832,242.02591312346246,36.72878702689898
833,242.41242210746714,37.29636068411813
834,241.90115969350117,36.738943195268355
835,241.5971943728329,37.09546650816844
836,241.53496179314322,37.10026804874027
837,241.73852326169597,37.08746085286181
838,241.39395077034618,36.9411094248402
839,241.62817493365634,37.07078389956147
840,241.70647480059273,36.49410415255991
841,241.32811896810864,37.001667613656245
842,241.9432107842715,37.16189057348021
843,242.09558894729028,37.1215163385726
844,241.8467602109913,37.03877431729362
845,242.2077093977843,37.00972588312973
